,ngram,False,True,n,False_q,True_q,fpr,fpr_sig
1402,IPR002219|IPR002219|IPR001206,0.3110807983458626,1.0,8.0,1.0,1.0,1.0,False
1403,IPR002223,0.9998952032574583,0.0006291305448363771,20.0,1.0,0.014642871734998019,0.06,False
1404,IPR002223|IPR002223,0.9936084195799628,0.03609635497938146,10.0,1.0,0.1777977590435526,0.11,False
1405,IPR002223|IPR002223|IPR002223,0.7468702812489645,1.0,2.0,1.0,1.0,0.7,False
1406,IPR002223|IPR024329,0.9798089903994711,0.1391824346229558,5.0,1.0,0.39276659732212593,0.1,False
1407,IPR002223|IPR024329|IPR013803,0.949715465274182,0.35455231076364435,3.0,1.0,0.5610939631594948,0.13,False
1408,IPR002225,0.949715465274182,0.35455231076364435,3.0,1.0,0.5610939631594948,0.42,False
1409,IPR002227,0.5577922071864692,1.0,4.0,1.0,1.0,0.83,False
1410,IPR002300,0.5577922071864692,1.0,4.0,1.0,1.0,0.98,False
1411,IPR002300|IPR013155,0.5577922071864692,1.0,4.0,1.0,1.0,0.83,False
1412,IPR002314,0.8608175653770442,0.5179641323611743,5.0,1.0,0.73003837204315,0.7,False
1413,IPR002314|IPR004154,0.949715465274182,0.35455231076364435,3.0,1.0,0.5610939631594948,0.42,False
1414,IPR002319,0.8608175653770442,0.5179641323611743,5.0,1.0,0.73003837204315,0.37,False
1415,IPR002319|IPR002319,0.908414135386015,0.4422077928135309,4.0,1.0,0.6539460977296835,0.16,False
1416,IPR002350,0.9999899482287476,4.491314958004582e-05,41.0,1.0,0.0018551351583080413,0.28,False
1417,IPR002350|IPR000742,0.7468702812489645,1.0,2.0,1.0,1.0,0.81,False
1418,IPR002350|IPR002048,0.9815717715138653,0.2531297187510355,2.0,1.0,0.46495601023341643,0.23,False
1419,IPR002350|IPR002350,0.9815717715138653,0.2531297187510355,2.0,1.0,0.46495601023341643,0.34,False
1420,IPR002350|IPR002350|IPR002350,0.9815717715138653,0.2531297187510355,2.0,1.0,0.46495601023341643,0.2,False
1421,IPR002350|IPR019577,0.9910167951623491,0.09158586461398503,4.0,1.0,0.2843895207094114,0.06,False
1422,IPR002350|IPR019577|IPR002048,0.949715465274182,0.35455231076364435,3.0,1.0,0.5610939631594948,0.21,False
